salary_in_usd
50000
116000
95000
142200
204500
110600
90000
145900
226700
149076
124000
250000
172200
107000
140000
90320
70000
236000
140000
135000
90000
132000
172000
24000
228000
110000
206000
164996
184000
15000
61896
162000
37824
125000
7799
180000
50000
247500
73000
100000
200000
143860
200000
137500
192000
120000
106800
204500
38000
121500
129300
18238
105000
148000
160000
170000
48000
86193
136000
145000
150000
129300
78990
262000
200000
168400
36773
135000
115934
147100
142000
133300
200000
185900
35610
154000
184100
141525
42923
125000
82528
85000
115000
130000
180000
71786
196000
214618
210000
146200
76814
160000
65488
187000
21013
106800
180000
175000
220000
240500
130000
170000
90000
231250
140000
216000
161342
109280
162500
204500
291500
66022
299500
89294
225000
113000
113900
160000
231250
205000
220000
53192
31520
193750
191475
85000
115000
169000
135000
128000
120000
192000
145000
78000
110600
245100
116990
85000
142200
180000
179820
17779
187500
60000
130000
6270
272550
150000
70000
154000
130000
73546
142200
150000
310000
105200
142200
110000
200000
113000
191475
120000
225000
110000
23000
85000
130000
234100
140400
156400
84053
191475
136000
120000
129300
90000
75116
160000
145000
42000
90000
133000
54685
24740
183000
84000
109371
192000
185900
200000
85000
120000
102200
110000
250000
175100
99000
185900
175000
145000
309400
170000
225000
141525
163800
170000
185000
178000
92000
130000
165400
90000
284310
109000
129000
104697
77262
195700
110000
165000
104000
133200
65257
150000
85000
70000
129000
175100
202000
99360
92350
128000
250000
150000
55410
66000
100000
183600
95000
140000
250000
130000
37824
18053
70000
84000
148500
135000
150000
215000
140000
109400
222200
183310
217000
80000
60938
106800
174000
126277
250000
250000
237000
75000
136956
175000
213580
275000
37825
95386
184000
105000
159000
99100
100000
126000
67723
189110
80000
150000
120000
50432
191475
30000
125000
132300
167580
104000
160000
115000
165000
148750
224000
81500
172200
180000
129300
14307
51321
160000
60400
145000
300000
80000
160000
90320
135000
144000
125000
209450
110000
180000
145000
126000
78000
162500
93000
38631
113000
53654
145000
65013
126000
212800
129300
149850
130000
165000
170000
47280
232200
179400
180000
53368
100000
80000
185000
10354
152500
135000
192000
140000
165750
82365
136620
129300
80481
289076
18907
275300
175000
121700
175000
150000
200000
185400
170000
104000
75000
230000
180000
310000
198440
38000
40000
191475
100000
239000
115000
145828
190000
170000
106000
124270
144100
184000
120000
160000
190200
125000
252000
200000
225000
93700
100000
63900
150000
120000
122700
110000
102100
20000
100000
139500
15897
169000
84053
170000
130000
115000
204620
175000
197000
20000
150000
184000
161000
150450
120000
270000
184000
169000
167500
115500
110000
50000
50000
64200
126000
84053
71907
206000
138938
25500
130000
142200
22809
146000
119300
50000
85000
175000
135000
190000
115934
63000
175000
219000
105000
51962
146000
122600
138750
196000
210000
168000
171600
190000
185000
50180
290000
145000
50432
90000
61467
200000
135000
110600
130000
75000
100000
47280
135000
131300
140000
72212
164000
80000
200000
70000
64500
108000
48289
73546
220000
128750
247500
123000
198200
150000
135000
174000
85000
115934
90000
85000
150000
200000
155000
198440
73880
195700
147000
144200
145000
144000
145000
150000
85000
54742
175000
171000
135000
12171
204500
144000
185000
141525
106000
160000
120000
128875
107500
170000
132320
95000
183000
141525
10000
130000
144100
299500
180000
50000
49253
235000
140000
12000
160000
221000
42028
95000
237000
63000
183500
120000
100000
153600
72200
150000
144000
145000
220110
204500
135000
67723
152500
89200
148000
260000
140000
191475
109400
240000
120000
289800
25532
95000
184000
95000
193900
105066
100000
175000
116000
63040
38000
129300
130000
200000
145900
185000
7500
208000
60000
150000
123700
130000
110000
170730
180000
5679
201036
130000
198200
63000
62649
141600
152900
15966
112900
170000
56000
72914
143100
190000
48000
61989
110000
105500
156868
185900
212200
162500
144000
160000
141525
195800
133000
154545
168400
245100
150000
127599
225000
130000
38400
183310
106020
185000
12901
190000
193900
180000
109400
93918
85066
50000
130000
115000
40000
130000
159500
100000
63040
51039
185000
37824
155000
135000
160000
148700
43809
185000
225000
192400
120000
193500
155000
153000
149040
120000
115440
70000
216000
135000
117000
220000
69751
191475
100000
130000
131300
191475
113750
160000
180000
185000
110600
150000
115934
65141
155000
101228
84000
94300
111775
130000
191475
141525
163800
145000
118000
149500
160080
105700
275300
180180
73880
180180
51064
200000
106800
92350
237000
120000
120000
206699
112900
213000
153600
100000
6304
75000
139500
151000
142200
120000
110000
136994
54685
52533
96113
113000
175000
160000
153600
191475
130000
204500
180000
230000
180000
65000
103160
253750
141525
138900
191475
165000
180000
260000
185900
12877
144000
185900
55685
108000
80000
161800
115000
175950
80000
102000
201450
116000
95000
185000
86193
6072
95000
140000
205000
110000
250000
140000
125404
105000
75000
154000
120000
310000
135000
136000
76833
33609
139000
129300
160000
43809
73000
129300
124000
161500
109006
36773
120000
130000
91237
38631
370000
204500
100500
160000
231250
115000
115934
107000
160000
122000
144854
119000
112000
145000
242000
17805
150000
156400
100000
145000
75020
116250
129300
82365
