Modelo,RMSE,MAE,R²
XGBoost,48872.53610928783,37010.56013531437,0.3949716460813021
Random Forest,262833.25918303913,72437.87494477055,-16.49873347172931
Linear Regression,212976740365298.9,28344851364245.31,-1.1489743331679818e+19
