Modelo,Val RMSE,Test RMSE,Val MAE,Test MAE,Val R²,Test R²
Linear Regression,166174114542638.72,212976740365298.9,17970426808606.52,28344851364245.31,-7.051173221845752e+18,-1.1489743331679818e+19
Random Forest,433668.683515436,264510.09015002527,76838.39538949826,69136.88864762564,0.438701354920782,0.5714248191187149
XGBoost,49301.98410934436,48872.53610928783,36714.79960703437,37010.56013531437,0.37932617324005946,0.3949716460813021
